AEROPUERTO_OPERACION,NOMBRE_AEROPUERTO
SKVH,Aeropuerto Yari
SQGJ,Aeropuerto Guayabal
SQQC,Aeropuerto Quinchía
SKFG,Aeropuerto Los Fundadores
SKGX,Aeropuerto Gamarra
SKIG,Aeropuerto Jaime Ortiz Betancur
SKVS,Aeropuerto Vanguardia
SKEH,Aeropuerto El Charco
SKFO,Aeropuerto Flaminio Suárez Camacho
SKMJ,Aeropuerto Jorge Isaac
SKQR,Aeropuerto Mariquita
SKSO,Aeropuerto Alberto Lleras Camargo
SQCZ,Aeropuerto Cumaral
SQKS,Aeropuerto San José del Guaviare
SQYF,Aeropuerto Yavaraté
SKAT,Aeropuerto El Troncal
SKFF,Aeropuerto La Francia
SKFU,Aeropuerto Fuentedeoro
SKLA,Aeropuerto La Macarena
SKLB,Aeropuerto Los Bancos
SKPG,Aeropuerto Puerto Gaitán
SKPL,Aeropuerto Puerto López
SQDB,Aeropuerto La Dorada
SQYT,Aeropuerto Yotoco
AFIL,Aeropuerto Filadelfia
SQFZ,Aeropuerto La Primavera
SQGU,Aeropuerto Guapi
SQZP,Aeropuerto Zapatoca
SKDD,Aeropuerto Las Flores
SKFV,Aeropuerto Fabio Alberto León Bentley
SKHC,Aeropuerto Hato Corozal
SQMR,Aeropuerto Miraflores
SQNP,Aeropuerto Nuquí
SQRN,Aeropuerto Rionegro
SQSA,Aeropuerto Santa Ana
SQIE,Aeropuerto Inírida Este
SQNM,Aeropuerto Neiva Militar
SQPI,Aeropuerto Puerto Inírida
SKAI,Aeropuerto Acaricuara
SKSD,Aeropuerto Luis F. Gómez Niño
SKTK,Aeropuerto Germán Olano
SKXE,Aeropuerto San José del Guaviare
SQET,Aeropuerto El Tigre
SKLQ,Aeropuerto Caucaya
SKOR,Aeropuerto Orito
SKRS,Aeropuerto Los Colonizadores
SKTD,Aeropuerto Trinidad
SKCA,Aeropuerto Capurganá
SQCD,Aeropuerto Condoto
SQEO,Aeropuerto El Doncello
SQKM,Aeropuerto La Macarena Militar
SKQJ,Aeropuerto Quibdó Auxiliar
SKQW,Aeropuerto Wacara
SKVY,Aeropuerto Vigía del Fuerte
SQBN,Aeropuerto Buenavista
