AEROPUERTO_OPERACION,NOMBRE_AEROPUERTO
SKAC,Aeropuerto SKAC
SKAD,Aeropuerto SKAD
SKAG,Aeropuerto SKAG
SKAM,Aeropuerto SKAM
SKAP,Aeropuerto SKAP
SKAR,Aeropuerto SKAR
SKAS,Aeropuerto SKAS
SKBC,Aeropuerto SKBC
SKBG,Aeropuerto SKBG
SKBM,Aeropuerto SKBM
SKBN,Aeropuerto SKBN
SKBO,Aeropuerto SKBO
SKBQ,Aeropuerto SKBQ
SKBS,Aeropuerto SKBS
SKBU,Aeropuerto SKBU
SKCC,Aeropuerto SKCC
SKCD,Aeropuerto SKCD
SKCG,Aeropuerto SKCG
SKCI,Aeropuerto SKCI
SKCL,Aeropuerto SKCL
SKCM,Aeropuerto SKCM
SKCN,Aeropuerto SKCN
SKCO,Aeropuerto SKCO
SKCR,Aeropuerto SKCR
SKCU,Aeropuerto SKCU
SKCV,Aeropuerto SKCV
SKCZ,Aeropuerto SKCZ
SKEB,Aeropuerto SKEB
SKEJ,Aeropuerto SKEJ
SKFL,Aeropuerto SKFL
SKFP,Aeropuerto SKFP
SKGB,Aeropuerto SKGB
SKGI,Aeropuerto SKGI
SKGO,Aeropuerto SKGO
SKGP,Aeropuerto SKGP
SKGY,Aeropuerto SKGY
SKGZ,Aeropuerto SKGZ
SKHA,Aeropuerto SKHA
SKHL,Aeropuerto SKHL
SKHZ,Aeropuerto SKHZ
SKIB,Aeropuerto SKIB
SKIM,Aeropuerto SKIM
SKIP,Aeropuerto SKIP
SKIR,Aeropuerto SKIR
SKJC,Aeropuerto SKJC
SKLC,Aeropuerto SKLC
SKLG,Aeropuerto SKLG
SKLM,Aeropuerto SKLM
SKLP,Aeropuerto SKLP
SKLR,Aeropuerto SKLR
SKLT,Aeropuerto SKLT
SKMA,Aeropuerto SKMA
SKMB,Aeropuerto SKMB
SKMD,Aeropuerto SKMD
SKME,Aeropuerto SKME
SKMF,Aeropuerto SKMF
SKMG,Aeropuerto SKMG
SKML,Aeropuerto SKML
SKMO,Aeropuerto SKMO
SKMP,Aeropuerto SKMP
SKMR,Aeropuerto SKMR
SKMU,Aeropuerto SKMU
SKMZ,Aeropuerto SKMZ
SKNA,Aeropuerto SKNA
SKNC,Aeropuerto SKNC
SKNQ,Aeropuerto SKNQ
SKNV,Aeropuerto SKNV
SKOC,Aeropuerto SKOC
SKOE,Aeropuerto SKOE
SKOT,Aeropuerto SKOT
SKPA,Aeropuerto SKPA
SKPB,Aeropuerto SKPB
SKPC,Aeropuerto SKPC
SKPD,Aeropuerto SKPD
SKPE,Aeropuerto SKPE
SKPI,Aeropuerto SKPI
SKPJ,Aeropuerto SKPJ
SKPP,Aeropuerto SKPP
SKPQ,Aeropuerto SKPQ
SKPR,Aeropuerto SKPR
SKPS,Aeropuerto SKPS
SKPV,Aeropuerto SKPV
SKPX,Aeropuerto SKPX
SKPZ,Aeropuerto SKPZ
SKQU,Aeropuerto SKQU
SKRA,Aeropuerto SKRA
SKRD,Aeropuerto SKRD
SKRG,Aeropuerto SKRG
SKRH,Aeropuerto SKRH
SKSA,Aeropuerto SKSA
SKSG,Aeropuerto SKSG
SKSJ,Aeropuerto SKSJ
SKSL,Aeropuerto SKSL
SKSM,Aeropuerto SKSM
SKSP,Aeropuerto SKSP
SKSR,Aeropuerto SKSR
SKSV,Aeropuerto SKSV
SKTB,Aeropuerto SKTB
SKTI,Aeropuerto SKTI
SKTJ,Aeropuerto SKTJ
SKTL,Aeropuerto SKTL
SKTM,Aeropuerto SKTM
SKTQ,Aeropuerto SKTQ
SKTR,Aeropuerto SKTR
SKTU,Aeropuerto SKTU
SKUA,Aeropuerto SKUA
SKUB,Aeropuerto SKUB
SKUC,Aeropuerto SKUC
SKUI,Aeropuerto SKUI
SKUL,Aeropuerto SKUL
SKUM,Aeropuerto SKUM
SKUR,Aeropuerto SKUR
SKUW,Aeropuerto SKUW
SKVF,Aeropuerto SKVF
SKVG,Aeropuerto SKVG
SKVN,Aeropuerto SKVN
SKVP,Aeropuerto SKVP
SKVV,Aeropuerto SKVV
